starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol,lane_r_1_vol
"2017-07-10 00:00:00-07",3.93,63.88,24,6.07,66.08,59,1.53,70.03,38,
"2017-07-10 00:05:00-07",3.85,63.08,25,5.15,67.44,55,2,71.85,34,
"2017-07-10 00:10:00-07",2.73,60.06,17,4.36,65.87,39,1.82,68.85,26,
"2017-07-10 00:15:00-07",2.42,64,17,5.58,64.29,35,2.33,65.74,35,
"2017-07-10 00:20:00-07",3.13,61.24,25,3.67,65.19,43,1.07,66.1,29,
"2017-07-10 00:25:00-07",2.43,62.19,21,3.79,68.56,34,2.14,69.61,38,
"2017-07-10 00:30:00-07",1.67,64.43,23,3.2,64.06,35,1.8,70.54,37,
"2017-07-10 00:35:00-07",5.21,59.05,21,2.36,67.56,34,1.57,72.07,28,
"2017-07-10 00:40:00-07",2.53,63.67,21,3.33,65.19,42,0.2,68.91,11,
"2017-07-10 00:45:00-07",4.36,59.29,21,2.86,65.2,25,0.5,70.21,14,
"2017-07-10 00:50:00-07",0.87,60,6,3.13,62.08,25,0,63.5,4,
"2017-07-10 00:55:00-07",2.29,61.75,12,2.29,67.03,29,0.5,72.23,13,
"2017-07-10 01:00:00-07",1.53,61.14,7,0.27,62.75,12,0,63.2,5,
"2017-07-10 01:05:00-07",2,55.91,11,0.21,64.7,10,0.36,70.67,9,
"2017-07-10 01:10:00-07",3.07,63.56,18,0.8,70.17,12,0,19.33,3,
"2017-07-10 01:15:00-07",0.93,58.6,5,0.79,71.91,11,0.07,72.5,4,
"2017-07-10 01:20:00-07",1.07,63.08,13,2.07,64.38,16,0.2,72.5,4,
"2017-07-10 01:25:00-07",2.79,63.38,16,0.57,67.67,6,0,74.5,4,
"2017-07-10 01:30:00-07",2.13,61.47,15,0.47,66.67,6,0.13,70.78,9,
"2017-07-10 01:35:00-07",1.29,65.88,8,0.29,67,6,0.14,70.43,7,
"2017-07-10 01:40:00-07",2.33,64,17,0,71.13,8,0.13,72,2,
"2017-07-10 01:45:00-07",3,63.75,16,1.64,67.14,14,0.14,68.17,6,
"2017-07-10 01:50:00-07",2.07,58.8,10,1.47,65.5,12,0,71.67,3,
"2017-07-10 01:55:00-07",1.71,62.08,13,1.86,64,10,0,64,1,
"2017-07-10 02:00:00-07",2.47,60.87,15,1.13,63.56,9,0.13,67,4,
"2017-07-10 02:05:00-07",0.57,63,7,0.93,67.92,13,0.14,71,8,
"2017-07-10 02:10:00-07",4,57.21,19,1.07,66.29,7,0.13,64.75,8,
"2017-07-10 02:15:00-07",1.5,57.91,11,1,67.75,16,0.07,73,5,
