starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol
"2017-08-20 00:00:00-07",0.62,69.38,16,1.62,69.21,29,2.08,61.65,31
"2017-08-20 00:05:00-07",0.3,58.36,11,1.7,70.43,28,0.9,66.17,12
"2017-08-20 00:10:00-07",1.5,67.79,19,2.13,70.05,22,0.5,65,7
"2017-08-20 00:15:00-07",0.09,71.5,4,1,68.63,16,1.82,61.3,10
"2017-08-20 00:20:00-07",0.43,70.41,17,1.5,70.8,35,1.71,66.07,28
"2017-08-20 00:25:00-07",1.18,69.45,22,1,67.09,22,2.09,64.55,22
"2017-08-20 00:30:00-07",0.29,58.5,14,1.43,68.88,32,0.79,62.86,14
"2017-08-20 00:35:00-07",0.18,67.75,8,1.27,68.17,24,3.27,64.9,21
"2017-08-20 00:40:00-07",0.5,72,16,2.93,66.9,39,2.14,65.5,28
"2017-08-20 00:45:00-07",0.82,70.82,17,1,68.89,19,2.55,67.35,23
"2017-08-20 00:50:00-07",1.33,69,29,1.92,70.03,31,1.83,67.63,16
"2017-08-20 00:55:00-07",0.36,68.4,10,2.36,67.23,30,2.27,62,15
"2017-08-20 01:00:00-07",0.36,64.77,13,0.57,67.42,19,0.5,52.9,10
"2017-08-20 01:05:00-07",0.82,66.28,18,2.91,66.13,24,1.27,63.07,14
"2017-08-20 01:10:00-07",0.21,68,13,2.14,67.65,26,3.14,62.05,19
"2017-08-20 01:15:00-07",0.36,70.64,14,1.36,71.39,23,2.09,65.19,16
"2017-08-20 01:20:00-07",0.07,70,5,1.43,70,27,0.71,71,13
"2017-08-20 01:25:00-07",0.18,68.33,9,1.27,70.82,22,2,64.06,18
"2017-08-20 01:30:00-07",0.14,70.29,7,1.14,69.43,28,2.07,63.52,21
"2017-08-20 01:35:00-07",0.82,66.71,17,1.73,67.69,29,3.73,60,27
"2017-08-20 01:40:00-07",0.57,73.46,13,1.14,70.96,26,2.29,65.72,18
"2017-08-20 01:45:00-07",0.18,73,6,1.55,68.43,23,1.91,64.69,13
"2017-08-20 01:50:00-07",0.14,75.71,14,1.29,71.08,26,0.64,64,8
"2017-08-20 01:55:00-07",0.09,62.5,6,0.91,69.47,19,1.36,63.29,14
"2017-08-20 02:00:00-07",0.14,70.86,7,1.57,69.94,31,0.79,61.92,13
"2017-08-20 02:05:00-07",0,72.33,3,0.82,68.25,16,1.27,64.58,12
"2017-08-20 02:10:00-07",0.36,69.08,13,0.93,67.04,23,1.57,60,14
"2017-08-20 02:15:00-07",0.18,70.75,4,1.45,68.15,26,2.55,60.67,12
"2017-08-20 02:20:00-07",0.21,68.69,13,0.57,70.06,18,0.57,66.8,15
"2017-08-20 02:25:00-07",0,69.33,3,0.45,67.79,14,1.36,64.88,16
"2017-08-20 02:30:00-07",0.07,72.78,9,0.29,70.38,13,0.86,63.42,19
"2017-08-20 02:35:00-07",0.55,74.86,7,1.64,64.73,22,1.82,63.54,13
"2017-08-20 02:40:00-07",0.14,69.22,9,0.71,71.21,19,2.36,60,11
"2017-08-20 02:45:00-07",0,68.8,5,0.55,68.5,8,1.82,63.8,15
"2017-08-20 02:50:00-07",0.21,68,10,0.5,65.05,19,2.5,62,16
